round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,epochs,kernel_size,loss,optimizer,target_size
15,7.635866094414688,0.5020057,7.757587663413305,0.49405044,relu,16,15,(4, 4),binary_crossentropy,Nadam,(200, 200)
15,7.743411572073758,0.49799433,7.621125131996755,0.50594956,relu,16,15,(4, 4),binary_crossentropy,Nadam,(100, 100)
15,0.04039338465905392,0.9858266,0.8061398207579342,0.8443598,relu,16,15,(4, 4),binary_crossentropy,Nadam,(64, 64)
15,7.63586611083888,0.5020057,7.757587647074975,0.49405044,relu,16,15,(4, 4),binary_crossentropy,Adam,(200, 200)
15,7.635866081764999,0.5020057,7.758398399740306,0.49405044,relu,16,15,(4, 4),binary_crossentropy,Adam,(100, 100)
15,0.05656027424483944,0.9806921,0.8165904375355747,0.82262415,relu,16,15,(4, 4),binary_crossentropy,Adam,(64, 64)
15,7.6358660985207365,0.5020057,7.758074118401193,0.49405044,relu,16,15,(5, 5),binary_crossentropy,Nadam,(200, 200)
15,0.03736981626546835,0.98700327,0.7677355733427378,0.8597493,relu,16,15,(5, 5),binary_crossentropy,Nadam,(100, 100)
15,0.05114353001399502,0.9813339,0.8569606128450115,0.82008564,relu,16,15,(5, 5),binary_crossentropy,Nadam,(64, 64)
15,7.635866104565043,0.5020057,7.757263349397533,0.49405044,relu,16,15,(5, 5),binary_crossentropy,Adam,(200, 200)
15,7.635866093420056,0.5020057,7.758074111744837,0.49405044,relu,16,15,(5, 5),binary_crossentropy,Adam,(100, 100)
15,0.06210821278447248,0.97860616,0.8299782006143885,0.82674915,relu,16,15,(5, 5),binary_crossentropy,Adam,(64, 64)
5,7.635866092807974,0.5020057,7.758236228512024,0.49405044,elu,16,5,(3, 3),binary_crossentropy,Nadam,(200, 200)
5,7.635866084213326,0.5020057,7.757587602295851,0.49405044,elu,16,5,(3, 3),binary_crossentropy,Nadam,(100, 100)
5,7.635866102524771,0.5020057,7.758236248481092,0.49405044,elu,16,5,(3, 3),binary_crossentropy,Nadam,(64, 64)
5,7.6358661022187295,0.5020057,7.758074101760303,0.49405044,elu,16,5,(3, 3),binary_crossentropy,Adam,(200, 200)
5,7.743411581510018,0.49799433,7.62047262542744,0.50594956,elu,16,5,(3, 3),binary_crossentropy,Adam,(100, 100)
5,7.635866100458995,0.5020057,7.757749813462272,0.49405044,elu,16,5,(3, 3),binary_crossentropy,Adam,(64, 64)
5,7.743411568452275,0.49799433,7.620635765911964,0.50594956,elu,16,5,(4, 4),binary_crossentropy,Nadam,(200, 200)
5,7.635866108492568,0.5020057,7.757749792282956,0.49405044,elu,16,5,(4, 4),binary_crossentropy,Nadam,(100, 100)
5,7.743411566463009,0.49799433,7.621125134417248,0.50594956,elu,16,5,(4, 4),binary_crossentropy,Nadam,(64, 64)
5,7.743411572073758,0.49799433,7.620635738227573,0.50594956,elu,16,5,(4, 4),binary_crossentropy,Adam,(200, 200)
5,7.635866089747565,0.5020057,7.757587644654482,0.49405044,elu,16,5,(4, 4),binary_crossentropy,Adam,(100, 100)
5,7.635866081254931,0.5020057,7.758074079673302,0.49405044,elu,16,5,(4, 4),binary_crossentropy,Adam,(64, 64)
5,7.743411567279118,0.49799433,7.621288249637875,0.50594956,elu,16,5,(5, 5),binary_crossentropy,Nadam,(200, 200)
